Feature,Frequency
GGB9636_SGB15107,10
Clostridium_sp_AM33_3,12
Oscillospiraceae_unclassified_SGB15256,10
Flavonifractor_plautii,13
Lawsonibacter_asaccharolyticus,14
Eisenbergiella_tayi,11
GGB3363_SGB4448,12
Clostridiales_bacterium_Choco116,11
Holdemanella_porci,2
Phascolarctobacterium_succinatutens,1
Parabacteroides_distasonis,2
Phascolarctobacterium_faecium,1
Gemmiger_SGB15295,1
Sutterella_wadsworthensis,1
Odoribacter_splanchnicus,1
Bacteroides_nordii,1
Enterobacter_hormaechei,1
Ruminococcus_bromii,2
Bifidobacterium_longum,3
GGB51647_SGB4348,2
Bacteroides_ovatus,1
Bifidobacterium_catenulatum,2
Ruminococcus_lactaris,1
Alistipes_dispar,1
Clostridia_bacterium_UC5_1_1E11,2
Monoglobus_pectinilyticus,1
Romboutsia_timonensis,2
Oscillospiraceae_bacterium_Marseille_Q3528,1
Butyricicoccus_sp_AM29_23AC,1
Blautia_luti,2
GGB9627_SGB15081,1
Ruminococcus_SGB4421,2
Ruminococcus_sp_AF13_28,1
Anaerobutyricum_hallii,2
Blautia_massiliensis,2
Faecalicatena_fissicatena,1
Citrobacter_freundii,1
Clostridium_symbiosum,2
Blautia_faecicola,1
GGB3363_SGB4447,3
Negativibacillus_massiliensis,1
Desulfovibrio_SGB5077,2
GGB14025_SGB14906,2
Butyricimonas_paravirosa,2
GGB2653_SGB3574,1
Blautia_sp_Marseille_P3087,1
Bifidobacterium_adolescentis,2
Eubacterium_rectale,1
Lachnospira_eligens,1
Akkermansia_muciniphila,1
GGB1495_SGB2071,1
Blautia_obeum,1
Fusicatenibacter_saccharivorans,1
Dorea_longicatena,1
Blautia_sp_MSK_20_85,1
GGB3277_SGB4327,3
Dorea_formicigenerans,2
GGB34797_SGB14322,1
Blautia_SGB4815,1
Faecalibacillus_intestinalis,2
GGB3653_SGB4964,1
Dorea_sp_AF36_15AT,1
Evtepia_gabavorous,1
Clostridiales_Family_XIII_bacterium_BX16,2
GGB9524_SGB14924,1
Ruminococcus_sp_AF41_9,2
Clostridiaceae_bacterium_AF18_31LB,2
Blautia_glucerasea,1
Clostridiaceae_bacterium_Marseille_Q4143,1
Intestinibacter_bartlettii,2
Dorea_sp_AF24_7LB,2
Clostridium_SGB4648,1
Lachnospiraceae_bacterium_BX3,1
Eubacterium_sp_AF16_48,1
Gemella_sanguinis,1
Phocaeicola_vulgatus,1
Phocaeicola_coprocola,1
Ruthenibacterium_lactatiformans,1
Bacteroides_intestinalis,1
Dialister_invisus,1
Parasutterella_SGB9260,1
Enterocloster_bolteae,1
GGB9635_SGB15106,1
GGB9758_SGB15368,1
Clostridium_sp_AF34_10BH,2
Veillonella_atypica,1
Veillonella_parvula,1
GGB51269_SGB5062,1
Veillonella_rogosae,1
GGB3612_SGB4882,1
GGB4578_SGB6328,1
Eubacterium_SGB6276,1
GGB9602_SGB15031,1
Clostridiaceae_bacterium_Marseille_Q4149,1
Streptococcus_parasanguinis,1
Hungatella_hathewayi,1
Bifidobacterium_dentium,1
Clostridiaceae_bacterium_Marseille_Q3526,2
Streptococcus_mitis,1
Clostridium_butyricum,1
Streptococcus_anginosus,1
Alistipes_finegoldii,1
Roseburia_intestinalis,1
Vescimonas_SGB15087,1
GGB9699_SGB15216,1
Lachnospiraceae_bacterium,1
Staphylococcus_SGB6340,1
Oscillospiraceae_bacterium,1
Eubacterium_sp_AF34_35BH,1
GGB9453_SGB14844,1
Alistipes_ihumii,1
Holdemania_filiformis,1
Bacteroides_thetaiotaomicron,1
Eubacteriaceae_bacterium,1
Dysosmobacter_welbionis,1
Eisenbergiella_massiliensis,1
