,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_SH-CRC-4_lefse,CHN_SH-CRC-4_MaAsLin,CHN_SH-CRC-4_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,Feature
10,10,,Fusicatenibacter_saccharivorans,Romboutsia_timonensis,Blautia_obeum,,,,Clostridia_bacterium_UC5_1_1E11,,,Clostridium_sp_AF34_10BH,Anaerobutyricum_hallii,Parasutterella_excrementihominis,Collinsella_SGB4121,Eubacteriaceae_bacterium,,,,,Alistipes_ihumii,GGB80011_SGB15267,,Veillonella_rogosae,GGB79734_SGB15291,,Holdemania_filiformis,GGB80011_SGB15267,,Blautia_massiliensis
11,11,,Bacteroides_thetaiotaomicron,Bifidobacterium_longum,Anaerostipes_hadrus,,,,GGB14025_SGB14906,,,Blautia_obeum,Clostridium_sp_AF34_10BH,Alistipes_shahii,Clostridiales_bacterium_Choco116,Butyricicoccus_SGB14990,,,,,GGB9453_SGB14844,Blautia_luti,,Ruthenibacterium_lactatiformans,GGB9602_SGB15028,,Blautia_sp_Marseille_P3087,Ruminococcus_sp_AF41_9,,Faecalibacillus_intestinalis
12,12,,Butyricimonas_SGB15260,Clostridium_symbiosum,Fusicatenibacter_saccharivorans,,,,,,,Parasutterella_excrementihominis,GGB13493_SGB15238,,Clostridiales_bacterium_KLE1615,Mediterraneibacter_glycyrrhizinilyticus,,,,,Eubacterium_ramulus,GGB9699_SGB15216,,Eubacterium_SGB6276,Bifidobacterium_longum,,,Eubacterium_sp_AF34_35BH,,Blautia_obeum
13,13,,Bifidobacterium_longum,Megasphaera_micronuciformis,Alistipes_shahii,,,,,,,Blautia_faecis,Alistipes_shahii,,Veillonella_atypica,Phocaeicola_vulgatus,,,,,Eubacterium_sp_AF34_35BH,Bifidobacterium_pseudocatenulatum,,GGB9602_SGB15031,Clostridium_sp_AF27_2AA,,,Megasphaera_micronuciformis,,Anaerostipes_hadrus
14,14,,Roseburia_inulinivorans,Phocaeicola_vulgatus,Blautia_massiliensis,,,,,,,GGB51647_SGB4348,Veillonella_atypica,,Bacteroides_cellulosilyticus,Paraprevotella_clara,,,,,Blautia_luti,Alistipes_ihumii,,Lachnospiraceae_bacterium_AM48_27BH,GGB9616_SGB15051,,,,,Streptococcus_thermophilus
15,15,,Streptococcus_salivarius,Dorea_longicatena,Bifidobacterium_longum,,,,,,,Anaerobutyricum_hallii,Evtepia_gabavorous,,Eubacteriaceae_bacterium,Odoribacter_splanchnicus,,,,,Clostridium_sp_AF20_17LB,Vescimonas_SGB15087,,Streptococcus_salivarius,Ruthenibacterium_lactatiformans,,,,,Ruminococcus_sp_AF41_9
16,16,,Paraprevotella_clara,Blautia_faecis,Bacteroides_thetaiotaomicron,,,,,,,Coprococcus_comes,Faecalibacillus_intestinalis,,Butyricicoccus_SGB14990,GGB3614_SGB4886,,,,,Clostridium_sp_AF27_2AA,,,GGB79734_SGB15291,GGB3363_SGB4448,,,,,Faecalicatena_fissicatena
17,17,,Bacteroides_caccae,Tyzzerella_nexilis,Bifidobacterium_pseudocatenulatum,,,,,,,Clostridiaceae_bacterium,Blautia_obeum,,GGB3614_SGB4886,Coprococcus_catus,,,,,,,,Phocaeicola_SGB6473,GGB3363_SGB4447,,,,,Dorea_formicigenerans
18,18,,Dorea_longicatena,Blautia_SGB4815,,,,,,,,Streptococcus_thermophilus,GGB9614_SGB15049,,Coprococcus_catus,Bifidobacterium_pseudocatenulatum,,,,,,,,Collinsella_SGB4121,Bacteroides_salyersiae,,,,,Bifidobacterium_pseudocatenulatum
19,19,,Blautia_massiliensis,Bacteroides_salyersiae,,,,,,,,Escherichia_coli,Veillonella_parvula,,GGB9627_SGB15081,GGB51647_SGB4348,,,,,,,,GGB4578_SGB6328,Coprococcus_eutactus,,,,,Romboutsia_timonensis
20,20,,Eubacterium_ventriosum,Bacteroides_cellulosilyticus,,,,,,,,Dorea_formicigenerans,Intestinibacter_bartlettii,,Clostridium_sp_AM42_4,Clostridium_symbiosum,,,,,,,,Hungatella_hathewayi,GGB9699_SGB15216,,,,,Clostridium_symbiosum
21,21,,Blautia_obeum,Phocaeicola_massiliensis,,,,,,,,Clostridium_sp_AM22_11AC,Blautia_massiliensis,,Mediterraneibacter_glycyrrhizinilyticus,Tyzzerella_nexilis,,,,,,,,GGB9602_SGB15028,Streptococcus_parasanguinis,,,,,Megasphaera_micronuciformis
22,22,,Veillonella_parvula,Collinsella_SGB14861,,,,,,,,Blautia_SGB4815,Clostridiales_Family_XIII_bacterium_BX16,,GGB1420_SGB1957,,,,,,,,,Monoglobus_pectinilyticus,,,,,,Phocaeicola_vulgatus
23,23,,Parabacteroides_merdae,Dorea_sp_AF36_15AT,,,,,,,,Anaerotignum_faecicola,Romboutsia_timonensis,,Anaerotruncus_colihominis,,,,,,,,,GGB9635_SGB15106,,,,,,Dorea_longicatena
24,24,,Collinsella_aerofaciens,Lachnospiraceae_bacterium_Marseille_Q4251,,,,,,,,GGB9614_SGB15049,Clostridium_sp_AM22_11AC,,,,,,,,,,,Clostridium_sp_AF27_2AA,,,,,,Blautia_faecis
25,25,,Bacteroides_salyersiae,Veillonella_atypica,,,,,,,,Dorea_sp_AF36_15AT,Alistipes_senegalensis,,,,,,,,,,,GGB3363_SGB4447,,,,,,Tyzzerella_nexilis
26,26,,Blautia_faecis,Evtepia_gabavorous,,,,,,,,Faecalibacillus_intestinalis,Escherichia_coli,,,,,,,,,,,GGB3363_SGB4448,,,,,,Blautia_SGB4815
27,27,,Anaerobutyricum_soehngenii,Butyricimonas_SGB15260,,,,,,,,Evtepia_gabavorous,Blautia_luti,,,,,,,,,,,,,,,,,Bacteroides_salyersiae
28,28,,Bacteroides_finegoldii,GGB79973_SGB14341,,,,,,,,Veillonella_parvula,Bifidobacterium_dentium,,,,,,,,,,,,,,,,,Bacteroides_cellulosilyticus
29,29,,Lachnospira_sp_NSJ_43,Veillonella_parvula,,,,,,,,Butyricimonas_faecihominis,Bacteroides_stercoris,,,,,,,,,,,,,,,,,Phocaeicola_massiliensis
30,30,,Faecalibacillus_intestinalis,Veillonella_rogosae,,,,,,,,Alistipes_dispar,Blautia_glucerasea,,,,,,,,,,,,,,,,,Dorea_sp_AF36_15AT
31,31,,Bacteroides_cellulosilyticus,Lachnospira_sp_NSJ_43,,,,,,,,Clostridiales_Family_XIII_bacterium_BX16,GGB9293_SGB14250,,,,,,,,,,,,,,,,,Lachnospiraceae_bacterium_Marseille_Q4251
32,32,,Tyzzerella_nexilis,Coprococcus_catus,,,,,,,,Blautia_luti,Acidaminococcus_intestini,,,,,,,,,,,,,,,,,Veillonella_atypica
33,33,,Dorea_formicigenerans,Mediterraneibacter_glycyrrhizinilyticus,,,,,,,,GGB3278_SGB4328,Dorea_longicatena,,,,,,,,,,,,,,,,,Evtepia_gabavorous
34,34,,Blautia_glucerasea,Blautia_luti,,,,,,,,Eubacterium_SGB6276,GGB9713_SGB15249,,,,,,,,,,,,,,,,,Butyricimonas_SGB15260
35,35,,Collinsella_SGB14861,Alistipes_shahii,,,,,,,,Intestinibacter_bartlettii,Roseburia_intestinalis,,,,,,,,,,,,,,,,,GGB79973_SGB14341
36,36,,Bilophila_wadsworthia,Ellagibacter_isourolithinifaciens,,,,,,,,Romboutsia_timonensis,Alistipes_dispar,,,,,,,,,,,,,,,,,Veillonella_parvula
37,37,,Streptococcus_thermophilus,Clostridium_sp_NSJ_42,,,,,,,,Bacteroides_finegoldii,,,,,,,,,,,,,,,,,,Veillonella_rogosae
38,38,,Lacrimispora_celerecrescens,Lachnospiraceae_bacterium_OM04_12BH,,,,,,,,GGB9642_SGB15119,,,,,,,,,,,,,,,,,,Lachnospira_sp_NSJ_43
39,39,,Megasphaera_micronuciformis,Butyricimonas_faecihominis,,,,,,,,,,,,,,,,,,,,,,,,,,Coprococcus_catus
40,40,,Bifidobacterium_catenulatum,Bacteroides_stercoris,,,,,,,,,,,,,,,,,,,,,,,,,,Mediterraneibacter_glycyrrhizinilyticus
41,41,,Lacrimispora_amygdalina,Clostridium_sp_AM22_11AC,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_luti
42,42,,Clostridium_symbiosum,Clostridiaceae_bacterium_AF18_31LB,,,,,,,,,,,,,,,,,,,,,,,,,,Alistipes_shahii
43,43,,Eubacterium_ramulus,Flavonifractor_plautii,,,,,,,,,,,,,,,,,,,,,,,,,,Ellagibacter_isourolithinifaciens
44,44,,Coprococcus_comes,Holdemania_filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_NSJ_42
45,45,,Coprococcus_catus,Lachnospiraceae_bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnospiraceae_bacterium_OM04_12BH
46,46,,Anaerobutyricum_hallii,Fusicatenibacter_saccharivorans,,,,,,,,,,,,,,,,,,,,,,,,,,Butyricimonas_faecihominis
47,47,,Blautia_luti,Blautia_faecicola,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_stercoris
48,48,,Clostridia_bacterium_UC5_1_1D1,Coprococcus_SGB4669,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AM22_11AC
49,49,,Blautia_SGB4815,Ruminococcus_bromii,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiaceae_bacterium_AF18_31LB
50,50,,Mediterraneibacter_glycyrrhizinilyticus,Eubacterium_ramulus,,,,,,,,,,,,,,,,,,,,,,,,,,Flavonifractor_plautii
51,51,,Clostridiaceae_bacterium_AF18_31LB,GGB9593_SGB15015,,,,,,,,,,,,,,,,,,,,,,,,,,Holdemania_filiformis
52,52,,GGB9453_SGB14844,,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnospiraceae_bacterium
53,53,,Alistipes_dispar,,,,,,,,,,,,,,,,,,,,,,,,,,,Fusicatenibacter_saccharivorans
54,54,,Evtepia_gabavorous,,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_faecicola
55,55,,Lachnospiraceae_bacterium_Marseille_Q4251,,,,,,,,,,,,,,,,,,,,,,,,,,,Coprococcus_SGB4669
56,56,,Lachnospiraceae_bacterium_OM04_12BH,,,,,,,,,,,,,,,,,,,,,,,,,,,Eubacterium_ramulus
57,57,,Eggerthella_lenta,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9593_SGB15015
58,58,,Agathobaculum_butyriciproducens,,,,,,,,,,,,,,,,,,,,,,,,,,,Parabacteroides_merdae
59,59,,Adlercreutzia_equolifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_thetaiotaomicron
60,60,,Ellagibacter_isourolithinifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,,Eubacterium_rectale
61,61,,Lawsonibacter_asaccharolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_glucerasea
62,62,,Merdimonas_faecis,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruminococcus_callidus
63,63,,Clostridiales_Family_XIII_bacterium_BX16,,,,,,,,,,,,,,,,,,,,,,,,,,,Alistipes_finegoldii
64,64,,GGB79973_SGB14341,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3746_SGB5089
65,65,,Ruminococcus_sp_AF41_9,,,,,,,,,,,,,,,,,,,,,,,,,,,Bilophila_wadsworthia
66,66,,GGB34797_SGB14322,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AM49_4BH
67,67,,GGB14025_SGB14906,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridia_bacterium_UC5_1_1E11
68,68,,Lachnospiraceae_bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB14025_SGB14906
69,69,,Clostridium_SGB4750,,,,,,,,,,,,,,,,,,,,,,,,,,,Alistipes_putredinis
70,70,,Dorea_sp_AF36_15AT,,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnospira_eligens
71,71,,Eubacteriaceae_bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9713_SGB15249
72,72,,Clostridium_sp_AF27_2AA,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AF34_10BH
