,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_WF-CRC_lefse,CHN_WF-CRC_MaAsLin,CHN_WF-CRC_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,Feature
16,16,,Eubacterium_ventriosum,Streptococcus_mitis,,GGB9602_SGB15028,Enterocloster_clostridioformis,,,,,GGB9359_SGB14334,,,,,,Parasutterella_excrementihominis,Clostridiales_bacterium,,,Clostridium_sp_AF27_2AA,,,,,Streptococcus_infantis,,,GGB9602_SGB15028
17,17,,Gemmiger_SGB15299,Ruminococcus_SGB4421,,GGB9524_SGB14924,,,,,,GGB9524_SGB14924,,,,,,Clostridium_SGB4750,Faecalibacterium_SGB15315,,,Alistipes_ihumii,,,,,,,,GGB9524_SGB14924
18,18,,GGB9713_SGB15249,Clostridium_sp_AM42_4,,GGB9627_SGB15081,,,,,,,,,,,,GGB3109_SGB4119,Bacteroides_finegoldii,,,Mesosutterella_multiformis,,,,,,,,GGB9627_SGB15081
19,19,,Enterocloster_bolteae,Desulfovibrio_piger,,Clostridiales_Family_XIII_bacterium_BX16,,,,,,,,,,,,GGB9627_SGB15081,Bacteroides_stercoris,,,GGB9345_SGB14311,,,,,,,,Clostridiales_Family_XIII_bacterium_BX16
20,20,,Ruminococcus_callidus,Clostridium_SGB4750,,GGB9707_SGB15229,,,,,,,,,,,,Lacrimispora_amygdalina,Bacteroides_thetaiotaomicron,,,Blautia_SGB4815,,,,,,,,GGB9707_SGB15229
21,21,,GGB3256_SGB4303,Phocaeicola_coprocola,,Enterocloster_clostridioformis,,,,,,,,,,,,Flavonifractor_plautii,Clostridium_fessum,,,Gemmiger_SGB15295,,,,,,,,Enterocloster_clostridioformis
22,22,,GGB3653_SGB4964,GGB42994_SGB4746,,Turicibacter_sanguinis,,,,,,,,,,,,GGB2653_SGB3574,Parasutterella_excrementihominis,,,Roseburia_inulinivorans,,,,,,,,Turicibacter_sanguinis
23,23,,GGB9636_SGB15107,Clostridiales_bacterium_Choco116,,,,,,,,,,,,,,Rheinheimera_SGB14999,GGB2653_SGB3574,,,,,,,,,,,Phocaeicola_vulgatus
24,24,,Bacteroides_cellulosilyticus,Faecalicatena_fissicatena,,,,,,,,,,,,,,GGB2998_SGB3988,Lachnospira_pectinoschiza,,,,,,,,,,,Phascolarctobacterium_faecium
25,25,,Clostridium_sp_AM49_4BH,Ruminococcus_sp_BSD2780120874_150323_B10,,,,,,,,,,,,,,Clostridium_sp_AF20_17LB,Blautia_sp_MSK_20_85,,,,,,,,,,,Klebsiella_pneumoniae
26,26,,Megasphaera_micronuciformis,Butyricimonas_SGB15260,,,,,,,,,,,,,,Lacrimispora_saccharolytica,Clostridium_SGB4750,,,,,,,,,,,Enterococcus_faecalis
27,27,,Faecalibacillus_faecis,Faecalibacterium_prausnitzii,,,,,,,,,,,,,,Lachnospira_pectinoschiza,GGB9627_SGB15081,,,,,,,,,,,Megasphaera_micronuciformis
28,28,,Desulfovibrio_piger,Ruminococcus_bicirculans,,,,,,,,,,,,,,Enterocloster_bolteae,Flavonifractor_plautii,,,,,,,,,,,Clostridiaceae_bacterium
29,29,,Lacrimispora_amygdalina,Clostridium_sp_AM33_3,,,,,,,,,,,,,,Faecalimonas_umbilicata,Lacrimispora_saccharolytica,,,,,,,,,,,Parasutterella_excrementihominis
30,30,,Flavonifractor_plautii,Eubacterium_ventriosum,,,,,,,,,,,,,,GGB9619_SGB15067,Erysipelatoclostridium_ramosum,,,,,,,,,,,Ellagibacter_isourolithinifaciens
31,31,,Enterobacter_hormaechei,Clostridium_sp_AF34_10BH,,,,,,,,,,,,,,Clostridium_fessum,Faecalimonas_umbilicata,,,,,,,,,,,GGB3653_SGB4964
32,32,,Oscillospiraceae_unclassified_SGB15256,Clostridium_sp_AM22_11AC,,,,,,,,,,,,,,Erysipelatoclostridium_ramosum,Enterocloster_bolteae,,,,,,,,,,,GGB9642_SGB15119
33,33,,Blautia_sp_MSK_20_85,Dorea_sp_AF24_7LB,,,,,,,,,,,,,,Eisenbergiella_massiliensis,GGB9619_SGB15067,,,,,,,,,,,GGB9614_SGB15049
34,34,,GGB42994_SGB4746,Roseburia_intestinalis,,,,,,,,,,,,,,,Blautia_massiliensis,,,,,,,,,,,Streptococcus_thermophilus
35,35,,Clostridiales_bacterium,GGB3304_SGB4367,,,,,,,,,,,,,,,Fusicatenibacter_saccharivorans,,,,,,,,,,,GGB3109_SGB4119
36,36,,Coprococcus_catus,,,,,,,,,,,,,,,,Bacteroides_ovatus,,,,,,,,,,,Streptococcus_mitis
37,37,,Clostridium_sp_AM42_4,,,,,,,,,,,,,,,,Clostridiaceae_bacterium_AF18_31LB,,,,,,,,,,,Ruminococcus_SGB4421
38,38,,Blautia_luti,,,,,,,,,,,,,,,,Clostridiaceae_bacterium,,,,,,,,,,,Clostridium_sp_AM42_4
39,39,,GGB9712_SGB15244,,,,,,,,,,,,,,,,Phocaeicola_vulgatus,,,,,,,,,,,Clostridium_SGB4750
40,40,,Blautia_glucerasea,,,,,,,,,,,,,,,,Alistipes_shahii,,,,,,,,,,,Phocaeicola_coprocola
41,41,,GGB9642_SGB15119,,,,,,,,,,,,,,,,Eubacterium_rectale,,,,,,,,,,,GGB42994_SGB4746
42,42,,Collinsella_SGB4121,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiales_bacterium_Choco116
43,43,,Enterococcus_faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,Faecalicatena_fissicatena
44,44,,Blautia_sp_Marseille_P3087,,,,,,,,,,,,,,,,,,,,,,,,,,,Butyricimonas_SGB15260
45,45,,Eubacterium_sp_AF16_48,,,,,,,,,,,,,,,,,,,,,,,,,,,Faecalibacterium_prausnitzii
46,46,,Faecalibacterium_SGB15315,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruminococcus_bicirculans
47,47,,GGB9759_SGB15370,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AM33_3
48,48,,Ruminococcus_SGB4421,,,,,,,,,,,,,,,,,,,,,,,,,,,Eubacterium_ventriosum
49,49,,GGB80140_SGB15224,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AF34_10BH
50,50,,GGB9608_SGB15041,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AM22_11AC
51,51,,GGB3614_SGB4886,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorea_sp_AF24_7LB
52,52,,GGB33469_SGB15236,,,,,,,,,,,,,,,,,,,,,,,,,,,Roseburia_intestinalis
53,53,,Senegalimassilia_anaerobia,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3304_SGB4367
54,54,,Alistipes_sp_AF17_16,,,,,,,,,,,,,,,,,,,,,,,,,,,Parabacteroides_distasonis
55,55,,Streptococcus_thermophilus,,,,,,,,,,,,,,,,,,,,,,,,,,,Candidatus_Cibionibacter_quicibialis
56,56,,Clostridiales_Family_XIII_bacterium_BX16,,,,,,,,,,,,,,,,,,,,,,,,,,,Collinsella_SGB4121
57,57,,Oscillospiraceae_bacterium_Marseille_Q3528,,,,,,,,,,,,,,,,,,,,,,,,,,,Megamonas_funiformis
58,58,,Alistipes_ihumii,,,,,,,,,,,,,,,,,,,,,,,,,,,Enterocloster_aldenensis
59,59,,Dorea_sp_AF24_7LB,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB1495_SGB2071
60,60,,Clostridia_bacterium_UC5_1_1D1,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9635_SGB15106
61,61,,GGB9614_SGB15049,,,,,,,,,,,,,,,,,,,,,,,,,,,Akkermansia_muciniphila
62,62,,Clostridiaceae_bacterium_Marseille_Q4145,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavonifractor_plautii
63,63,,Clostridium_sp_AF36_4,,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnospira_eligens
64,64,,GGB9767_SGB15385,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3277_SGB4327
65,65,,Enterococcus_faecium,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9602_SGB15031
66,66,,Enterocloster_citroniae,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_xylanisolvens
67,67,,GGB33928_SGB15225,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_fessum
68,68,,GGB9760_SGB15373,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_caccae
69,69,,GGB3109_SGB4119,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_SGB4648
70,70,,Dysosmobacter_sp_NSJ_60,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9512_SGB14909
71,71,,Merdimonas_faecis,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiaceae_bacterium_Marseille_Q4143
