"","SRR13836098","SRR13836083","SRR13836086","SRR13836088","SRR13836068","SRR13836077","SRR13836099","SRR13836076","SRR13836070","SRR13836143","SRR13836178","SRR13836172","SRR13836139"
"Akkermansia_muciniphila",0.00945612956512819,0.0148601261805442,0.000356487039875327,0.00191430808862228,0.0394422018522267,0,0.000369555764810952,0,0,0.197413316066504,0,0.0373751370921226,8.46234665740116e-05
"GGB3277_SGB4327",0,0.000943968849338822,0,0.000429468404117905,0.000262929908830848,7.01563488646141e-06,0,0.104716039323902,0.0150781787506141,0.020042756267318,0,0.0592386654006993,0
"Alistipes_putredinis",0.120600408056253,0.675351257353701,0.00429582072520438,1.1249471620525,0.754275384529386,0.992476273587927,0.280917010328635,0.733473928555596,0.673687987101887,1.3162493290302,0.739551473004771,0.993064743763705,0.00320929435825168
"Enterocloster_SGB14313",0,0.00302973767092143,0,0,0,0,0,0,0.000197490218590913,0.02721986129666,0,0,0
"GGB9758_SGB15368",0.00271621941033708,0,0,0.181103647663922,0,0,0,0,0.00372179028438489,0.0872236299038888,0.000219478331582468,0.158482729430061,0
"Roseburia_inulinivorans",0.147282911230217,0.0010940812678816,0.0191009029696709,0.00376054807848369,0.0334030569757696,0.0281409952071313,0.000794017407394442,0.0065560337676764,0.059264893893884,0.00699853233508866,0.0199844311019617,0.00785483860573979,0.00781194497386009
"Ruminococcus_lactaris",0.00537114370367148,0,0,0,0,0.0356152108660909,0,0,0,0.0141352381366071,0,0,0.00516418182325017
"Bacteroides_xylanisolvens",0.0288998083966089,0.0149792634090294,0.000684824017848474,0.0218229163373174,0.0943276987996149,0.0295392555117744,0.577776231953823,0.0211076937334569,0.000662613170625438,0.00571263426750405,0.216768187559398,0.0232351627210352,0.055165502552683
"Clostridium_sp_AM49_4BH",0.00119242757117017,0.000746927892756348,0,0,0.00207436205370596,0.000395748269524002,0,0.0158518178846519,0,0.00143728864404399,0.00616346785248844,0,0
"Lachnospira_sp_NSJ_43",0,0.000181597068511285,0,0.000754656673548358,0,0,0,0,0,0.0062400304330142,0,0.0464330086674558,0
"GGB3256_SGB4303",0,0,0.530666509765488,0,0,0.146216261492585,0,0,0,0.101456459551595,0.000117735230354354,0,0
"Paraprevotella_clara",0,0.0406271033863265,0.16081605857566,0,7.50795604319484e-05,0.0611460281560451,0,0.0274477920822666,0.0128066272684038,0.000476597458584065,0.000135264203696394,0,6.99085351961283e-05
"Eubacterium_SGB6276",0.00301293431780507,0.00534565478273291,0,0,0,0,0,0,0,0.0251730168347392,0,0.00623066285599338,0.0219324011358622
"Clostridium_SGB4648",0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0.00160702810916329,0,0.00029395039366857,0.00284813144036517,0.0454293714638869,0,0.00650016408519967,0.0290580884506082,0.0101880563460064,0.00397470836031554,0.0493308469982086,0.0122659138030624
"GGB9345_SGB14311",0.000857450692317336,0.000779697805936126,0,0.00110780235765269,0,0,0,0,0,0.00633912875123703,0,0,0
"Odoribacter_splanchnicus",0.00735970811948029,0.0268974221135765,0,0.0181483583611301,0.00891306550126035,0.00387323781620961,0.000143881023728099,0.0283682871278869,0.0158482028981071,0.174981970791529,0.0137432003881836,0.0226966159915063,0
"Dorea_longicatena",0.201418681266733,0.00548498660279211,0.0057384854985397,0.00242459411251482,0.0802773106887184,0.00913678556756007,0.00531166870417071,0.00414108833538548,0.00678129048431813,0.00459770132249606,0.0044526248063145,0.000277917482380069,0.00204225699875731
"Parabacteroides_distasonis",0.0103311480354773,0.0261161088254419,0.000544404226072358,0.0395254439064262,0.00914070363849539,0.191589647260848,0.136720609670583,0.0180347010749217,0.0103387176305216,0.140488937488323,0.134273886964617,0.0164865039276478,0.0126988638610182
"Faecalibacterium_prausnitzii",1.622994507892,0.342963258054958,0.352146775901313,0.0885009357213967,0.449737913840175,0.641618647246492,0.936692887883664,0.851328207475247,0.321501476900838,0.507472899219949,0.332603098473127,0.477410495077808,0.519494048309397
"Roseburia_faecis",0.0753141001998602,0.00157012329996328,0.274057970127774,0.0307144503531413,0.0478375846750222,0.112519554780637,0.0495409794804302,0.150644241923775,0.390679457710263,0.174563750884378,0.0730550036165693,0.0405047015036762,0.305466907316144
"Coprococcus_comes",0.00252851895842279,0.000408877861745547,0.00905269052087679,0.0568703384680822,0.00422513334995211,0,0,0.0230419101947791,0.00242768768261201,0.00415508221122966,0.00814815616849654,0.00225257101528246,0.0318234430859022
"Bacteroides_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnesiella_intestinihominis",0.00116554187285877,0.0137804834989547,0.00035578675701866,0.208694364887862,0.0405342685435527,0,0.00123464282079097,0,0.0326249464362963,0.176880440524283,0.000205085996229692,0.180654685843659,0
"GGB3746_SGB5089",0,0,0.0792660666464324,0,0.0001946960130372,0,0,0,0.0170257076644808,0,0.000905221233169104,7.78384442140436e-05,0.00143381756843725
"Intestinibacter_bartlettii",0,0,0.00295655551103679,0.000899010519708993,0.000370046903633961,0.00145978774363719,0,0.00298200755874756,0,0,0,0,0
"Desulfovibrio_SGB5077",0,0.000417922866946897,0,0,0.000194423481440196,0,0,0.0187496989825368,0.011089782230149,0,0.00115195524701029,0.0157838901026636,7.88971020831325e-05
"Firmicutes_bacterium_AF16_15",0.152085571398116,0.122018618761811,0.020218512753065,0.0254963992408526,0.0262826343453492,0,0.00554426574883641,0.0416082993555965,0.00048402273822392,0.0125508719825445,0.00825603903052099,0.0251712576201872,0.0154375923637133
"Bacteroides_caccae",0.0175454370001296,0.132587294224674,0.107265026491972,0.000197208225278375,0.0328993342094473,0.0693042818824945,0.00109115087098513,0.0201011025471852,0.0396721627905675,0.00231890097192371,0.121015462931731,0.0490426587448154,0.0854273337228885
"Ruminococcus_torques",0.271323074229414,0.0072732611311522,0.0303994203552792,0.00222743274065795,0.00463701190738971,0.0271720773555943,0.128603893843566,0.00322930819583472,0.0571304427845542,0.0208729381774503,0.0334718036686222,0.0031404948800697,0.0162387441348673
"GGB9342_SGB14306",0.0267459203081191,0.000555989889267222,0,0.0251860796174625,0.00630707938532021,0,0,0,0,0.0101534020100346,0,0,0
"Clostridium_sp_AF12_28",0.0212201057237535,0,5.71071657386422e-05,0,0,0,0,0,0,0,0,0.000440820063934772,6.01867119325897e-05
"Bacteroides_finegoldii",0.000621326585773331,0.00297146406587283,0,0,0.0316947838535868,0.0110307945600931,9.67012932570414e-05,0,0.0566239995680379,0.00120279729816693,0.000162247058801534,0.000291755542549064,0
"GGB9359_SGB14334",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0.00899700392818599,0.000744643821285876,0.00195872493187124,0.000599097032481193,0.000349616125328935,0.00233405023316832,0,0.00194314316203436,0.000958659168524664,0.00181977374536989,0.000633205772631437,0.0019145203881297,0.000196286493882374
"Veillonella_rogosae",0.148280916256904,0,0.0110775479181844,0.000257201860326561,0,0,0.000439789082521774,0.000663094401304074,0.000257978010689935,0,0,0,0
"Clostridium_sp_1001270J_160509_D11",0.0534292373534502,0,0,0.00140472722966975,0,0,0,0.00061929850215396,0,0,0,0,0
"GGB9636_SGB15107",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_dorei",0.0262571719687421,0.000452937344095356,0.00240986939482404,0.00533976913679786,0.0214133067709863,0.091689496195054,0.0120722763283433,0.00213749210455372,0.0268821999535019,0.00483978542374149,0.0143617407398811,0.00140674117552395,0.00115973764373003
"Ruminococcus_bicirculans",0.0165273470724893,0.0012446973415751,0.000257799800495361,0.0250806056951773,0.0400079647875328,0.320890891718151,0.0149245533205877,0.755280426574213,0.000177411437986515,0.0531247122134061,0.952587990227424,0.381089513590183,0.0112259986945211
"Bacteroides_ovatus",0.00736443260259352,0.371199131995864,0.0845413947101042,0.11240008526298,0.0780491222522852,0.0379498080331109,0.0838569080392862,0.0196546750154573,0.0539089113727443,0.0182080625169841,0.307224227512539,0.0487587802464635,0.101656296711425
"Lachnospiraceae_bacterium",0,0,0.00647455774819535,0.000176650077331793,0,0,0,0,0,0.000466027931207538,0.000230610289104107,0,0
"Faecalibacillus_intestinalis",0.0637324452111744,0.000591117103565869,0.00172957486977949,0,0.000531112331032597,0.00543570943399176,0.00152403400193807,0.00108800809972325,0,0.00436210288446603,0.00385183132475152,0.000572618154517214,0.000379979026153827
"GGB3612_SGB4882",0,0,0,0,0,0,0,0.00141686742182883,0,0,0,0.0233598796245268,0
"Blautia_wexlerae",0.0476822704179784,0.00147120442702716,0.0486103982472026,0.00343104296516402,0.0127633374369631,0.002294546655719,0.0218894955833838,0.00480835555525757,0.0721470578005184,0.00544361135875357,0.0180593901429935,0.00327204833672612,0.0631107120486238
"Eubacterium_siraeum",0,0,0,0.0352579535147928,0,0,0,0,0,0,0,0.101153463723942,0
"Eubacteriaceae_bacterium",0.000914820775390102,0.00032703493451178,0.00418846601395263,0.00792052989571631,0.00184876226866139,0,0,0,0,0.0118733902286166,0.00188963906400781,0,0.0616968448068007
"GGB3653_SGB4964",0,0,0.00211895498992944,8.17770458954933e-05,0,0,0,0.00175475794477903,0,0.00294111245427273,0,0,0
"GGB3614_SGB4886",0,0,0,0,0,0,0,0,0,0.00333000725936361,0,0,0
"Staphylococcus_SGB6340",0.0100311737130577,0,0,0,0.00354291690210875,0.00496954094206768,0,0,0,0,0,0,0.068058315913092
"Parabacteroides_merdae",0.0116584885559092,0.075326565810172,0.000659539067250045,0.134047071978704,0.0436975980301883,0.000248080183309261,0.187261110110074,0,0.082052134987839,0.168384147164293,0.000114168145826329,0.0374140732838631,0.129091020654017
"Phascolarctobacterium_faecium",0.0117943345208059,0.00208695973171464,0.0418209633218762,0.0166034529989253,0.00112150656842432,0.326221197544204,0.0765633501475404,0.0374226517840153,0.310161227597205,0.0341799498307329,0.421999387770793,0.0446628782273111,0.000893454081825904
"Clostridiaceae_bacterium",0.281969665278705,0.00558589766014246,0.0502988517765315,0.0133826324490574,0.00126432751796897,0.0147159445980573,0.0151751108511314,0.045784677318571,0.0116501197961834,0.0135617227331737,0.0446192268055727,0.00191884219979448,0.00149506094552424
"Faecalicatena_fissicatena",0.0126267651920072,0.00157325357037425,0.020963512083373,0.0229349952693133,0.000290882124766953,0,0,0.01427124664062,0.00298729075987016,0.0036858251357466,0.00857511998019576,0.0544251515969309,0.00610347236656252
"GGB51269_SGB5062",0,0,0,0.00399037855355099,0,0,0,0,0,0.00896297776655836,0,0,0
"Blautia_sp_Marseille_P3087",0,0.00131611966577933,0.000517867761304586,0.000147843306590388,0,0,0,0,0.000212681561190101,0,0,0,0
"Butyricimonas_virosa",0,0,0,0,0.00110540336802608,0.0166869724075921,0,0,0.00421600017249171,0,0,0.0152195040497323,0
"Escherichia_coli",0.0462337215555576,0.00769364830521081,0.00458472277038428,0.0492247605900083,0.00407061959966902,0.0392502121797622,0.506739877777612,0.000339798185497781,0.0828877832957201,0.0160686472194433,0.00546511237735878,0.0115517204297434,0.0174396275824251
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_stercoris",0.0640483302353682,0.0571312088856387,0.0019503842581393,0.618897399745171,0.187687128461677,0.105311680674951,0.00278350408200374,0.0773788870594982,0.10132648006753,0.326716408666317,0.00562338061398981,0.287478183367819,0.316414992910146
"GGB9747_SGB15356",0,0.0727397577235171,0,0,0,0,0,0,0,0.155492370549204,0,0,0
"Clostridiales_bacterium_KLE1615",0.0405083574536678,5.06316440478752e-05,0.00397975366315383,0.000609823262521129,0,0,0,0.00489707115833224,7.54690884593045e-05,0.0017666793426625,0,0.00103826054561264,0.00123757987119887
"Blautia_faecis",0.0113403279381942,0.0056944604552998,0.0085864684613712,0.00229176943694177,0.00131325963587549,0.000495498647137847,0.00181961642831873,0.0093389593661538,0.00877451001082455,0.000279440289956104,0.00369753396835649,0.00122128338337965,0.00769481076891307
"GGB9512_SGB14909",0,0.000556757612325725,0.000606207976487477,0.00367402510913632,0,0,0,0,0.0028257753605369,0,0,0,0
"Candidatus_Cibionibacter_quicibialis",0.105094778211647,0.00744879011039708,0.00289837072210013,0.115446116024848,0.352540195298792,0.132595564577421,0.0558159705613141,0.12040413678735,0.0322363014628079,0.0163895868204005,0.106405594482066,0.0418542407996315,0.36761834476967
"Blautia_obeum",0.00247611866383865,0.00206839753748034,0.0425251403981696,0.00133147332788227,0.00134802263844658,0.00105969737158896,0.00287942903244787,0.004387628224398,0.000347204779924225,0.00313948766534317,0.00145415336887625,0.000351926205680018,0.000664232144298931
"GGB9635_SGB15106",0.000116216077713969,0,0,0,0,0,0,0,0,0.00144183890702546,6.63319546050546e-05,0,4.18786175241901e-05
"Coprobacter_secundus",0,0,0,0,0,0,0,0,0.000313593014845831,0,0.0030146365531128,0.00266881305412148,0
"Anaerostipes_hadrus",0.00615783809213921,0,0.0110723351991907,0,0.00102557675477143,0,0,0.00146713744645842,0.00010102448407921,0.00657118678804218,0.00243235193060258,0.00024114214862732,0.0055670049654772
"Lachnospiraceae_bacterium_AM48_27BH",0,0,0.00212033820160372,0,0.00044197553963386,0,0,0,0.00401757684147858,0.0204528793327559,0.00346056460212252,0.00488910555671022,0.00200049078637012
"Blautia_sp_MSK_20_85",0,0,0,0,0.00808166780748645,0,0,0,0,0.00127181532382994,0,0,0
"Bacteroides_salyersiae",0,0.148230602444994,0.0629307556329937,0.0181301082300646,0.00234356087154084,0.076573708913194,7.7665702690235e-05,0.0174762290056063,0,0,0.00019215096711474,0,0
"Fusicatenibacter_saccharivorans",0.0180752777633282,0.00155676488994499,0.0127818063034228,0.0103136906876083,0.00933398791484075,0.00944947229126043,0,0.00965591160635024,0.00278199825297273,0.017274318279099,0.0229651400768816,0.00101853913885121,0.0420069366957582
"Anaerobutyricum_hallii",0.00365557371116779,0,0.00319719259423541,0.000751979095189323,0.000303412261260688,0.000842367072819099,0,0.00663559802358732,0.000107753009232826,0,0.000444195342362894,7.44577172235495e-05,0.000996941052472556
"Clostridium_fessum",0.0311540449243107,0.0015545558465665,0.00235615372000708,0.00343419244143283,0.00120136832545398,0,0.0198615599412168,0.00989051675422806,0.0334602856114657,0.0269658438126692,0.0110004758594664,0.00481557906118339,0.00595993094132596
"Lachnospira_eligens",0.00120498333237207,0.00533304546757485,0.0859160222920479,0.00679826727791203,0.00037907883977653,0.00111178340878266,0.214143369919296,0.0198610383111147,0.00818821309962685,0.000120305251197331,0,0.00275710146598109,0.0071685727312617
"Clostridium_sp_AF34_10BH",0.0388062981613005,0.0195206144156488,0.19277553996724,0.00145919507525389,0.00398308337644786,9.08470819174377e-05,0.0347562998834436,0.0118187709678342,0.0452015595111698,0.00602250049258836,0.0121310204526156,0.00245993877354476,0.0772734449416519
"Eubacterium_sp_AF16_48",0,0.00932693877214238,0,0.00501888071421384,0.000325885872511806,0,0,0,0,0.00168051809430203,0,0,0
"Lachnospiraceae_bacterium_BX3",0,0,0,0.00546164356571943,6.75090916348811e-06,0,0,0.00324442371592234,0,0,0,0.00508558001656195,0.00853557272929001
"Streptococcus_salivarius",0.00148788719360145,0.0325016174432943,0.00417356414096507,0.000685863128344259,0.00193553786539024,0.00264354437578439,0.00719175493255311,0.00317524841601861,0.00126297670416672,0.000595016296479977,0,4.87734698081903e-05,0.000465981821215398
"Clostridiaceae_unclassified_SGB4771",0,0,0.000717753434122932,0.000167513104872217,0.00196252228423054,0,0,0,0.000412298236070053,0.000294652436983121,0.000160118621398054,0,0.00152148346078699
"Haemophilus_parainfluenzae",0.996819339505195,0.00161013360687657,0.00254653595643028,0.000434744594989818,0,0,0.00106726019605515,8.14727512850172e-05,0.000535490409177465,0.00206919935478586,0,0.000160338277891463,0.000597476823528945
"Bacteroides_clarus",0,0,0.0573247950873778,0,0,0,0,0,0,0,0,0.00375978254586991,0
"Roseburia_hominis",0.0987641890167393,0.0154522322908074,0.00190943135086245,0.00347128283506441,0.0148097370427224,0.00783713662086728,0,0.0180931069616314,0.0112928159744006,0.150949698126551,0.0153935764267404,0.0186324301694732,0.0017743321690145
"Blautia_SGB4815",0,0.000137927600129801,0.00955657346621533,0,0,0.000288572106636757,0,0,0,0,0,0,0.000617356948204762
"Parasutterella_excrementihominis",0.000422771591956336,0,0.0359191558634126,0,0,0,0.119923160224202,0,0,0,0.00968381971146495,0,0
"GGB9712_SGB15244",0,0.00323387517054446,0,0,0.0109360804100552,0,0,0,0,0,0,0,0
"Clostridium_sp_AF20_17LB",0.0049466729008386,0.000116789753340184,0.000479616183938014,0,0,0.0161047491658851,0,0.004662469113142,9.93418094010339e-05,0.000453645068132655,0.00120015362940936,0.00067949155373977,0.00236123912780666
"Clostridium_sp_AM22_11AC",0,0.00051362304657885,0.00285595996266028,0.000512571923196093,0.00100708146984867,0.0159645643317887,0,0.00124124729008083,0.0139932872164072,0.00177164533996905,0.0181180961471532,0.00688573232254722,0.000927140574147966
"Clostridiaceae_bacterium_AF18_31LB",0.00745533421865546,0.000143560778769136,0.00338632228675403,0,0.00016479211070515,0.00517328428420008,0.0127032899735144,0.0079726258755588,0.00192818405107396,0.00292588556791092,0.000881025810391365,0.00143343753301452,0.00108595309522664
"Clostridiaceae_bacterium_Marseille_Q4149",0.0074671022534309,0.0430644917093049,0,0,0,0,0,0,0.0280440946594685,0.00514971279337172,0.127679669269272,0,0
"Collinsella_SGB14861",0,0.00292008445837625,0,0,0,0,0,0,0,0,0,0,0.00808441001651097
"Lacrimispora_celerecrescens",0,0,0.000586791479704873,5.53553327906907e-05,0,0.000278617153097298,0,0.000592465870621121,0.000142442652100339,0.000592534595180906,0.000611853781225608,0,0
"Roseburia_sp_AM16_25",0,0,0.000208098119314577,0.000174365835244785,0.00087879267548633,0,0,0.00441482519249944,0.0660595399456632,0.00135893704264379,0.00112581154547726,0.0127026882115805,0
"Clostridium_sp_AF36_4",0.0125020839367874,0,0,0.0128778966293839,0.00702921312638331,0,0,0.0184332502313293,0,0.113700656461795,1.15514448043488e-05,0.0634446245968659,0.0871504446728363
"Oscillospiraceae_bacterium_Marseille_Q3528",0,0.000101652119615615,0.00119353261124919,0,0.00132987655682468,0,0,0,0.00028293445905267,0,5.36508060596815e-05,3.198006238196e-05,2.88642811853347e-05
"Dysosmobacter_sp_BX15",0.0874548296048114,0.0733076814775421,0,0.0627599782509999,0.0102352112896033,0.0696191626708328,0,0.129603557538867,0.452270121766579,0.106543521816329,0.0368293456524327,0.06453173187608,0.0234008274794779
"Coprobacter_fastidiosus",0,0,0,0,0.000622682678112143,0,0.0066398398635505,0,0,0.259982183917523,0,0,0
"Coprococcus_catus",0.0134795236095937,0.000293314210732521,0.00230233288449194,0.000590298327468452,0.000192343483473227,0.00224040115413614,0,0.000712275551474194,0,0,8.90869914712381e-05,0.000148877777655283,0.00158747396041357
"Butyricicoccus_sp_AM29_23AC",0.0231961230393649,0,0,0.00305927196771146,0,0.00160065654321847,0.107109521103358,0,0,0.00223866664999827,0,0.0032734341409703,0.0026642725782622
"Dorea_sp_AF24_7LB",0,0,0,0.000108973560364887,0,0,0,0,0.000807788874182914,8.90773198737392e-05,0,0,0
"GGB2982_SGB3964",0,0.00162287590111454,0,0,0.000203854524188407,0,0.0149740818814723,0.000625389681428099,0,0,0,0.00725180655842943,0
"Coprococcus_SGB4669",0,0,0,0,0,0,0,0,0.00045801504951434,0.000104638302019817,0,0,0
"Faecalibacterium_SGB15346",0.0327091322048565,0.0242142653618771,0.106458965605456,0.0171607522509222,0.0370940252493529,0.986353821408581,0.588097140754035,0.106424816222504,0.0335276032193614,0.147892559962411,0.13732212323279,0.170911989603481,0.156493458472409
"Catenibacterium_SGB4425",0,0,0,0.00469350965474815,0,0,0,0,0,0.00917635397311802,0,0,0.0060455181692173
"Clostridium_sp_AF34_13",0,0,0,1.59067541360035e-05,0.0101541750333841,0,0,0.0109354466370238,0,0,0,0,0
"Eubacterium_ramulus",0.00767251233610543,0.000164474980723065,0.00676127570103955,5.40614502326286e-05,0.000783095035390777,0.00187188918575211,0,0,0.000388713904088898,0.000251557553362517,0,0.00049357979770565,0.00781235563097432
"Clostridium_saudiense",0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",0.0314439725877381,0.761882547752575,0.219105795699324,0.416240579010181,0.174630436438217,0.560206307966517,0.0170508372400773,0.157871539508327,0.114069703405249,0.00136779570451939,0.00145088573722661,0.113064280583072,0.000227113353940243
"GGB80011_SGB15267",0.00205328176149467,0.0108741184216063,0,0.0236773919814696,0.00028266265292575,0,0,0,0,0.00599213839963994,0,0.00544308951764138,0
"GGB9767_SGB15385",0,0,0,0,0,0,0,0,0,0,0,0.000938125328778573,0
"GGB2653_SGB3574",0,0,0,0.000372824041250705,0.00424882739203088,0.00163417083643426,0,0,0,0.000477154540111199,0.00064033716070794,0,0
"Clostridium_sp_AM33_3",0,0,0.00118790276868252,0,0,0,0,0.000919006355973278,0.0063353274989122,0.000539553287604013,0.000191723155308247,0.00141640489306154,0.000194255973084671
"Blautia_massiliensis",0.0147899965824393,0.000404367469529328,0.00800591165461006,0,0.0014720174679394,0.00134913736392995,0.00489473087791407,0.00251180609227499,0.00117276768507618,0,0.00404440076562278,0,0.010044271925934
"GGB9708_SGB15233",0,0,0,0.110845241705982,0,0,0,0,0,0,0,0,0
"GGB14025_SGB14906",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lacrimispora_amygdalina",0,0,0.00203501205995939,0.000151196788753736,0.000749212113376955,0,0,0.00163012242740336,0.00940666917485913,0.00137832818276596,0.0040011216159147,0.000364543061900022,0.00139565631579149
"Blautia_glucerasea",0,0,0,0.000564708433798582,7.42596295025747e-05,0,0,0,0,0.000221036875082967,0,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0
"Agathobaculum_butyriciproducens",0.0230039700821043,0.000411518367681673,0.0113124823809431,0.00014467062575515,0.00742210661415563,0.00723225909557246,0.0200341879056691,0.0227150021217233,0.035304062139096,0.00162549157167865,0.00924343570630822,0.00361575376264103,0.00171721287107369
"Alistipes_onderdonkii",0.0138122871043605,0.899828225434815,0.487958441939613,7.76350167440862e-05,0.000121613845822571,0.120549127056089,0.00988690907226489,0.021272070486131,0.039408306145341,0.00437098953213262,0.0425900446833774,0.232759097457102,0.000424527208784965
"GGB80140_SGB15224",0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae_bacterium_Marseille_Q4143",0,0,0.000272587680721549,0,0.00100440979265992,0,0.00485735164128522,0,0.000136302829833018,0,0,1.41768971936717e-05,0.00055530884550995
"Parasutterella_SGB9260",0,0,0,0,0.00253166023473684,0,0,0,0,0.109218611209349,5.28102811422573e-05,0,6.41427518958044e-05
"GGB33469_SGB15236",0,0.0152395158050782,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter_bilis",0,0,0.00014583949941504,0.00318191628847359,0,0.00303746900347882,0,0,0,0,0,0,0.000411518244229401
"GGB79734_SGB15291",0,0.00162204907729928,0.00427366789915599,0.00142328663408978,0.00103962474644934,0,0,0,0.000486685617006259,0.0103824666025821,0.000761688668645829,0.00206739530352424,0.0166547969977692
"Hydrogenoanaerobacterium_saccharovorans",0,0,0.0061748655906692,0.00107949240692404,0.00113718682678685,0.00471386486834419,0.00796006118229456,0,5.52765548952208e-05,0,0.00184329644487313,0.00629217846416892,0
"Desulfovibrio_piger",0.000362432878539285,0,0,0,0,0,0,0,0.0313260364704714,0,0,0,0
"Blautia_luti",0,0,0.00131636468037033,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_ER4",0.19120858404459,0.229541776813534,0.383194824055446,0.26791244973528,0.0717448389170687,0.000352425300670624,0.0516459190205645,0.887332135581135,0.811199395985739,0.153475467855773,0.707114783249251,0.14776713922886,0.181670444630932
"Clostridiaceae_bacterium_Marseille_Q4145",0,0,5.23664110092496e-05,0,0,0,0,0,0,0,0,0,0
"Clostridiales_Family_XIII_bacterium_BX16",0,0.000527930208056317,0,0.00126539413395887,0.0020582050664125,0.0016461352250982,0,0,0.000380852445945215,0.00101521152714751,0,0,0.00218019157796783
"GGB4578_SGB6328",0,0,0,0,0,0,0,0,0,0.00100085415960012,0,0.0108398183745694,0
"GGB9713_SGB15249",0,0.141200153603243,0,0.0509710895281202,0.353983701493383,0,0,0,0.000510017257761343,0.103395959624464,8.77920437351836e-05,0.0334150979320497,0
"Klebsiella_pneumoniae",0.00526121803418616,0.194445931500007,0.000280201721649999,0.0443872226788054,0,0,0.0203250120937311,0.014647363377829,0.00036681075026249,0.00652252053875012,0,0,0
"GGB9602_SGB15028",0,0,0,0,0,0,0,0,0,0.00394804430539853,0,0.00240974838256824,0
"Oscillospiraceae_unclassified_SGB15256",0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_AF02_12",0,0,0,0.0494561484897369,0,0,0,0.00101721579172836,0.000202413580027633,0.000366934584353918,0,0,0.000821657915311113
"GGB9602_SGB15031",0,0,0,0,0,0,0,0,0,0.0158177442528615,0,0.0253254955326308,0.00543656477594687
"Waltera_intestinalis",0.0789416126679,0.0128001236815856,0.112333906206235,0.025083384611714,0.0287879575578195,0.0499845631508,0.00847066453639643,0.00977018684883682,0.0111907113941697,0.0250532417370372,0.0168562903672149,0.0840351840692035,0.0554577992462136
"Dorea_sp_AF36_15AT",0,0,0,0,0.000181970965392231,0,0.00223473445794563,0,0.000270648179412518,0,0,0,0
