Feature,Frequency
GGB9760_SGB15373,1
GGB3321_SGB4394,1
GGB80140_SGB15224,1
Oscillospiraceae_bacterium_Marseille_Q3528,1
GGB9634_SGB15093,1
Eubacterium_sp_AF16_48,1
GGB9293_SGB14250,1
GGB3730_SGB5060,1
GGB9559_SGB14969,1
GGB33928_SGB15225,1
Merdimonas_faecis,1
Dysosmobacter_sp_NSJ_60,1
