Feature,Frequency,Study Count
Clostridium_symbiosum,4,4
Anaerotruncus_colihominis,1,1
Clostridiales_bacterium_Choco116,1,1
Veillonella_atypica,3,3
Bifidobacterium_adolescentis,3,3
Butyricicoccus_SGB14990,1,1
Bacteroides_salyersiae,5,4
Collinsella_SGB4121,2,2
Odoribacter_splanchnicus,1,1
Clostridiales_bacterium_KLE1615,3,3
Bacteroides_clarus,1,1
Hungatella_hathewayi,3,3
Clostridium_sp_AM42_4,1,1
GGB3614_SGB4886,1,1
Lachnospira_sp_NSJ_43,3,3
Candidatus_Cibionibacter_quicibialis,1,1
GGB9627_SGB15081,1,1
Tyzzerella_nexilis,3,3
Coprococcus_catus,4,3
Eisenbergiella_tayi,1,1
Bacteroides_caccae,4,3
Collinsella_SGB14861,4,3
GGB80011_SGB15267,2,2
GGB9699_SGB15216,1,1
Eubacterium_sp_AF34_35BH,3,3
Clostridium_sp_AF27_2AA,4,4
Fusicatenibacter_saccharivorans,4,3
Vescimonas_SGB15087,1,1
Bifidobacterium_pseudocatenulatum,3,3
Lachnospiraceae_bacterium,4,3
Staphylococcus_SGB6340,2,2
Clostridium_saudiense,1,1
Blautia_luti,3,3
Flavonifractor_plautii,4,3
GGB4578_SGB6328,1,1
GGB9602_SGB15031,1,1
GGB3363_SGB4448,1,1
GGB79734_SGB15291,1,1
Ruminococcus_sp_BSD2780120874_150323_B10,1,1
Ruthenibacterium_lactatiformans,1,1
GGB9602_SGB15028,1,1
GGB3363_SGB4447,1,1
Lachnospiraceae_bacterium_AM48_27BH,1,1
Parasutterella_SGB9260,1,1
Monoglobus_pectinilyticus,1,1
Holdemania_filiformis,4,4
Phocaeicola_SGB6473,2,2
Clostridium_sp_AF36_4,1,1
Holdemanella_biformis,1,1
Enterococcus_faecalis,1,1
Eubacterium_ventriosum,2,2
Ruminococcus_lactaris,1,1
Roseburia_inulinivorans,3,3
Ruminococcus_sp_AF41_9,4,4
Enterococcus_faecium,2,2
Prevotella_copri_clade_A,1,1
GGB3277_SGB4327,1,1
Ruminococcus_torques,1,1
GGB9697_SGB15213,2,2
Faecalicatena_fissicatena,3,3
GGB79973_SGB14341,3,3
Butyricimonas_SGB15260,1,1
Alistipes_indistinctus,1,1
Bacteroides_uniformis,4,3
Lacrimispora_saccharolytica,1,1
Butyricimonas_paravirosa,1,1
GGB3256_SGB4303,1,1
Eubacterium_rectale,2,1
Bacteroides_thetaiotaomicron,3,2
Streptococcus_salivarius,3,2
Desulfovibrio_SGB5077,2,2
Blautia_sp_MSK_20_85,2,2
Lacrimispora_celerecrescens,1,1
Bilophila_wadsworthia,2,1
Collinsella_aerofaciens,2,1
Anaerobutyricum_soehngenii,2,2
Adlercreutzia_equolifaciens,2,2
Streptococcus_parasanguinis,1,1
Faecalibacterium_SGB15315,1,1
GGB34797_SGB14322,1,1
Eubacterium_ramulus,2,2
Blautia_faecicola,2,2
Clostridium_sp_NSJ_42,2,2
Ellagibacter_isourolithinifaciens,2,2
Clostridia_bacterium_UC5_1_1D1,1,1
Clostridium_SGB4750,1,1
Clostridiaceae_bacterium_AF18_31LB,2,2
Dorea_sp_AF24_7LB,1,1
GGB80140_SGB15224,1,1
GGB9759_SGB15370,1,1
GGB9559_SGB14969,1,1
Lachnospiraceae_bacterium_OM04_12BH,1,1
GGB9719_SGB15272,1,1
GGB9595_SGB15019,1,1
Enterocloster_bolteae,1,1
GGB9345_SGB14311,1,1
