,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_SH-CRC-4_lefse,CHN_SH-CRC-4_MaAsLin,CHN_SH-CRC-4_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,Feature
10,10,,Anaerostipes_hadrus,Dorea_formicigenerans,Lachnospiraceae_bacterium,,GGB3819_SGB5184,,GGB3612_SGB4882,Eubacteriales_unclassified_SGB15145,,Clostridium_sp_AF34_10BH,Alistipes_shahii,Anaerobutyricum_hallii,Clostridiaceae_bacterium_Marseille_Q4149,Paraprevotella_clara,,,,,Dorea_formicigenerans,Eubacterium_sp_AF34_35BH,,Clostridium_sp_AF27_2AA,GGB9760_SGB15373,,Holdemanella_biformis,Prevotella_copri_clade_A,,Blautia_obeum
11,11,,Bacteroides_thetaiotaomicron,Flavonifractor_plautii,Faecalibacillus_intestinalis,,Citrobacter_freundii,,Blautia_glucerasea,Streptococcus_thermophilus,,Blautia_faecis,Butyricimonas_faecihominis,Lachnospira_eligens,Bacteroides_cellulosilyticus,Odoribacter_splanchnicus,,,,,Eubacterium_sp_AF34_35BH,,,GGB9602_SGB15031,Veillonella_parvula,,Clostridiales_bacterium_KLE1615,Ruminococcus_sp_AF41_9,,Blautia_SGB4815
12,12,,Dorea_longicatena,Megasphaera_micronuciformis,Blautia_wexlerae,,,,Clostridium_sp_AF34_13,Anaerobutyricum_hallii,,Parasutterella_excrementihominis,GGB9614_SGB15049,Blautia_SGB4815,Tyzzerella_nexilis,Faecalibacterium_prausnitzii,,,,,GGB9453_SGB14844,,,Lachnospiraceae_bacterium_AM48_27BH,Ruminococcus_sp_BSD2780120874_150323_B10,,Holdemania_filiformis,Enterococcus_faecium,,Phocaeicola_vulgatus
13,13,,Bifidobacterium_longum,Ruminococcus_sp_AF41_9,Parabacteroides_merdae,,,,GGB3746_SGB5089,GGB1420_SGB1957,,GGB51647_SGB4348,Parabacteroides_merdae,Parasutterella_excrementihominis,Odoribacter_splanchnicus,Eubacteriaceae_bacterium,,,,,Blautia_luti,,,Phocaeicola_SGB6473,Holdemania_filiformis,,Ruminococcus_sp_AF41_9,Holdemania_filiformis,,Faecalibacillus_intestinalis
14,14,,Fusicatenibacter_saccharivorans,Blautia_massiliensis,Streptococcus_thermophilus,,,,Clostridium_sp_AF20_17LB,GGB3612_SGB4882,,Blautia_obeum,Clostridiales_Family_XIII_bacterium_BX16,Alistipes_shahii,Bacteroides_clarus,Clostridiales_bacterium_KLE1615,,,,,Clostridium_sp_AF27_2AA,,,Collinsella_SGB4121,GGB3363_SGB4448,,Blautia_sp_Marseille_P3087,Megasphaera_micronuciformis,,Streptococcus_thermophilus
15,15,,Bacteroides_caccae,Phocaeicola_massiliensis,Bacteroides_stercoris,,,,GGB14025_SGB14906,Roseburia_hominis,,Anaerobutyricum_hallii,Clostridium_sp_AF34_10BH,,Eubacteriaceae_bacterium,Candidatus_Cibionibacter_quicibialis,,,,,,,,GGB4578_SGB6328,GGB3363_SGB4447,,,,,Blautia_faecis
16,16,,Parabacteroides_merdae,Tyzzerella_nexilis,Blautia_faecis,,,,Lachnospiraceae_bacterium_Marseille_Q4251,Blautia_glucerasea,,GGB9593_SGB15015,Clostridium_sp_AM22_11AC,,Clostridiales_bacterium_Choco116,Anaerotruncus_colihominis,,,,,,,,Hungatella_hathewayi,Monoglobus_pectinilyticus,,,,,Bacteroides_salyersiae
17,17,,Streptococcus_salivarius,Faecalicatena_fissicatena,Blautia_obeum,,,,GGB9453_SGB14844,Clostridium_sp_AF12_28,,Alistipes_communis,Evtepia_gabavorous,,Veillonella_atypica,Butyricimonas_faecihominis,,,,,,,,Monoglobus_pectinilyticus,,,,,,Lachnospiraceae_bacterium_Marseille_Q4251
18,18,,Bifidobacterium_pseudocatenulatum,Anaerobutyricum_hallii,Anaerostipes_hadrus,,,,Alistipes_finegoldii,Eubacteriaceae_bacterium,,Coprococcus_comes,Bacteroides_stercoris,,Collinsella_SGB4121,Hungatella_hathewayi,,,,,,,,GGB9602_SGB15028,,,,,,Dorea_formicigenerans
19,19,,Anaerobutyricum_hallii,Collinsella_SGB14861,Bacteroides_salyersiae,,,,Lawsonibacter_asaccharolyticus,GGB9747_SGB15356,,Clostridiaceae_bacterium,Dorea_longicatena,,Butyricicoccus_SGB14990,Clostridium_symbiosum,,,,,,,,GGB3363_SGB4448,,,,,,Flavonifractor_plautii
20,20,,Blautia_massiliensis,Clostridium_symbiosum,Fusicatenibacter_saccharivorans,,,,Anaerostipes_caccae,Clostridium_sp_AF34_13,,Clostridium_sp_AM22_11AC,Intestinibacter_bartlettii,,Clostridium_symbiosum,Butyricicoccus_SGB14990,,,,,,,,GGB3363_SGB4447,,,,,,Megasphaera_micronuciformis
21,21,,Blautia_obeum,Romboutsia_timonensis,Anaerobutyricum_hallii,,,,Eubacteriales_unclassified_SGB15145,Dorea_sp_AF36_15AT,,Dorea_formicigenerans,Faecalibacillus_intestinalis,,Clostridiales_bacterium_KLE1615,Clostridiales_bacterium_Choco116,,,,,,,,,,,,,,Ruminococcus_sp_AF41_9
22,22,,Paraprevotella_clara,Bacteroides_stercoris,Streptococcus_salivarius,,,,Eubacteriaceae_bacterium,Lachnospiraceae_bacterium_Marseille_Q4251,,Streptococcus_thermophilus,Streptococcus_thermophilus,,Eisenbergiella_tayi,Coprococcus_catus,,,,,,,,,,,,,,Blautia_massiliensis
23,23,,Bifidobacterium_adolescentis,Dorea_longicatena,Blautia_SGB4815,,,,Clostridiales_bacterium,Bifidobacterium_longum,,Blautia_SGB4815,Blautia_glucerasea,,GGB3614_SGB4886,GGB51647_SGB4348,,,,,,,,,,,,,,Phocaeicola_massiliensis
24,24,,Bacteroides_salyersiae,Bifidobacterium_longum,Collinsella_SGB14861,,,,Blautia_sp_Marseille_P3087,Negativibacillus_massiliensis,,Anaerotignum_faecicola,GGB9293_SGB14250,,Butyricimonas_faecihominis,Blautia_obeum,,,,,,,,,,,,,,Tyzzerella_nexilis
25,25,,Blautia_faecis,Alistipes_shahii,Coprococcus_catus,,,,Negativibacillus_massiliensis,Alistipes_senegalensis,,GGB9614_SGB15049,Acidaminococcus_intestini,,GGB9627_SGB15081,Alistipes_shahii,,,,,,,,,,,,,,Faecalicatena_fissicatena
26,26,,Veillonella_parvula,Lachnospiraceae_bacterium,Alistipes_shahii,,,,Blautia_hansenii,Dysosmobacter_sp_NSJ_60,,Alistipes_dispar,GGB13493_SGB15238,,GGB3819_SGB5184,GGB9627_SGB15081,,,,,,,,,,,,,,Anaerobutyricum_hallii
27,27,,Roseburia_inulinivorans,Coprococcus_catus,Blautia_massiliensis,,,,GGB9619_SGB15067,Enterocloster_aldenensis,,Dorea_sp_AF36_15AT,Bifidobacterium_dentium,,Coprococcus_catus,Mediterraneibacter_glycyrrhizinilyticus,,,,,,,,,,,,,,Collinsella_SGB14861
28,28,,Desulfovibrio_SGB5077,Dorea_sp_AF36_15AT,Dorea_sp_AF36_15AT,,,,Dysosmobacter_sp_NSJ_60,GGB9619_SGB15067,,Faecalibacillus_intestinalis,Blautia_massiliensis,,Clostridium_sp_AM42_4,GGB3819_SGB5184,,,,,,,,,,,,,,Clostridium_symbiosum
29,29,,Streptococcus_thermophilus,Bifidobacterium_pseudocatenulatum,Bilophila_wadsworthia,,,,,Alistipes_finegoldii,,Evtepia_gabavorous,Alistipes_communis,,Hungatella_hathewayi,Megasphaera_micronuciformis,,,,,,,,,,,,,,Romboutsia_timonensis
30,30,,Faecalicatena_fissicatena,Fusicatenibacter_saccharivorans,Lachnospiraceae_bacterium_Marseille_Q4251,,,,,Clostridiaceae_unclassified_SGB15090,,Clostridiales_Family_XIII_bacterium_BX16,GGB9713_SGB15249,,Anaerotruncus_colihominis,Clostridiaceae_bacterium_Marseille_Q4149,,,,,,,,,,,,,,Bacteroides_stercoris
31,31,,Eubacterium_ventriosum,Blautia_faecicola,Bifidobacterium_longum,,,,,GGB9453_SGB14844,,Klebsiella_pneumoniae,Alistipes_senegalensis,,,Veillonella_atypica,,,,,,,,,,,,,,Dorea_longicatena
32,32,,Tyzzerella_nexilis,Holdemania_filiformis,Collinsella_aerofaciens,,,,,Blautia_hansenii,,GGB3278_SGB4328,GGB51269_SGB5062,,,,,,,,,,,,,,,,,Alistipes_shahii
33,33,,Coprococcus_comes,Bacteroides_uniformis,Bacteroides_thetaiotaomicron,,,,,Phocaeicola_vulgatus,,Methylobacterium_SGB15164,Klebsiella_pneumoniae,,,,,,,,,,,,,,,,,Lachnospiraceae_bacterium
34,34,,Blautia_sp_MSK_20_85,Butyricimonas_faecihominis,Flavonifractor_plautii,,,,,,,GGB51269_SGB5062,GGB9593_SGB15015,,,,,,,,,,,,,,,,,Coprococcus_catus
35,35,,Lacrimispora_celerecrescens,Bacteroides_thetaiotaomicron,,,,,,,,Butyricimonas_faecihominis,Megasphaera_micronuciformis,,,,,,,,,,,,,,,,,Dorea_sp_AF36_15AT
36,36,,Bifidobacterium_catenulatum,Bacteroides_caccae,,,,,,,,Megasphaera_micronuciformis,Alistipes_putredinis,,,,,,,,,,,,,,,,,Bifidobacterium_pseudocatenulatum
37,37,,Collinsella_SGB14861,Veillonella_atypica,,,,,,,,Romboutsia_timonensis,GGB9758_SGB15368,,,,,,,,,,,,,,,,,Fusicatenibacter_saccharivorans
38,38,,Dorea_formicigenerans,Eubacterium_sp_AF34_35BH,,,,,,,,Intestinibacter_bartlettii,Romboutsia_timonensis,,,,,,,,,,,,,,,,,Blautia_faecicola
39,39,,Bacteroides_finegoldii,Clostridium_sp_AF27_2AA,,,,,,,,Bacteroides_finegoldii,Roseburia_intestinalis,,,,,,,,,,,,,,,,,Holdemania_filiformis
40,40,,Bilophila_wadsworthia,Bacteroides_cellulosilyticus,,,,,,,,Eubacterium_SGB6276,GGB9760_SGB15373,,,,,,,,,,,,,,,,,Bacteroides_uniformis
41,41,,Collinsella_aerofaciens,Parabacteroides_merdae,,,,,,,,,Veillonella_parvula,,,,,,,,,,,,,,,,,Butyricimonas_faecihominis
42,42,,Megasphaera_micronuciformis,Desulfovibrio_SGB5077,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_thetaiotaomicron
43,43,,Faecalibacillus_intestinalis,Clostridiales_Family_XIII_bacterium_BX16,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_caccae
44,44,,Lachnospira_sp_NSJ_43,Roseburia_inulinivorans,,,,,,,,,,,,,,,,,,,,,,,,,,Veillonella_atypica
45,45,,Anaerobutyricum_soehngenii,GGB79973_SGB14341,,,,,,,,,,,,,,,,,,,,,,,,,,Eubacterium_sp_AF34_35BH
46,46,,Flavonifractor_plautii,Bacteroides_finegoldii,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AF27_2AA
47,47,,Bacteroides_cellulosilyticus,Anaerobutyricum_soehngenii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_cellulosilyticus
48,48,,Adlercreutzia_equolifaciens,Ruminococcus_bromii,,,,,,,,,,,,,,,,,,,,,,,,,,Parabacteroides_merdae
49,49,,Clostridium_symbiosum,Lachnospira_sp_NSJ_43,,,,,,,,,,,,,,,,,,,,,,,,,,Desulfovibrio_SGB5077
50,50,,Coprococcus_catus,Blautia_sp_Marseille_P3087,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiales_Family_XIII_bacterium_BX16
51,51,,Lachnospiraceae_bacterium,Streptococcus_salivarius,,,,,,,,,,,,,,,,,,,,,,,,,,Roseburia_inulinivorans
52,52,,Clostridiales_bacterium_KLE1615,Clostridiaceae_bacterium_AF18_31LB,,,,,,,,,,,,,,,,,,,,,,,,,,GGB79973_SGB14341
53,53,,Blautia_luti,Blautia_luti,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_finegoldii
54,54,,Veillonella_atypica,Veillonella_parvula,,,,,,,,,,,,,,,,,,,,,,,,,,Anaerobutyricum_soehngenii
55,55,,GGB9697_SGB15213,Hungatella_hathewayi,,,,,,,,,,,,,,,,,,,,,,,,,,Ruminococcus_bromii
56,56,,Blautia_SGB4815,Clostridium_sp_NSJ_42,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnospira_sp_NSJ_43
57,57,,Streptococcus_parasanguinis,GGB9595_SGB15019,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_sp_Marseille_P3087
58,58,,Faecalibacterium_SGB15315,Enterocloster_bolteae,,,,,,,,,,,,,,,,,,,,,,,,,,Streptococcus_salivarius
59,59,,Dorea_sp_AF36_15AT,Eubacteriaceae_bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiaceae_bacterium_AF18_31LB
60,60,,GGB34797_SGB14322,Blautia_sp_MSK_20_85,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_luti
61,61,,Eubacterium_ramulus,Ellagibacter_isourolithinifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,Veillonella_parvula
62,62,,Lachnospiraceae_bacterium_Marseille_Q4251,Eubacterium_ramulus,,,,,,,,,,,,,,,,,,,,,,,,,,Hungatella_hathewayi
63,63,,Alistipes_dispar,Adlercreutzia_equolifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_NSJ_42
64,64,,Clostridiales_Family_XIII_bacterium_BX16,Clostridiales_bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9595_SGB15019
65,65,,Phocaeicola_SGB6473,GGB9345_SGB14311,,,,,,,,,,,,,,,,,,,,,,,,,,Enterocloster_bolteae
66,66,,Blautia_faecicola,Evtepia_gabavorous,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_sp_MSK_20_85
67,67,,Clostridium_sp_NSJ_42,Paraprevotella_clara,,,,,,,,,,,,,,,,,,,,,,,,,,Ellagibacter_isourolithinifaciens
68,68,,Ellagibacter_isourolithinifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,,Eubacterium_ramulus
69,69,,Ruminococcus_sp_AF41_9,,,,,,,,,,,,,,,,,,,,,,,,,,,Adlercreutzia_equolifaciens
70,70,,Clostridia_bacterium_UC5_1_1D1,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiales_bacterium
71,71,,Romboutsia_timonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9345_SGB14311
72,72,,Clostridium_SGB4750,,,,,,,,,,,,,,,,,,,,,,,,,,,Evtepia_gabavorous
73,73,,Clostridiaceae_bacterium_AF18_31LB,,,,,,,,,,,,,,,,,,,,,,,,,,,Paraprevotella_clara
74,74,,GGB79973_SGB14341,,,,,,,,,,,,,,,,,,,,,,,,,,,Eubacterium_rectale
75,75,,Eubacterium_sp_AF34_35BH,,,,,,,,,,,,,,,,,,,,,,,,,,,Coprococcus_comes
76,76,,Clostridium_sp_AF27_2AA,,,,,,,,,,,,,,,,,,,,,,,,,,,Bilophila_wadsworthia
77,77,,Dorea_sp_AF24_7LB,,,,,,,,,,,,,,,,,,,,,,,,,,,Collinsella_aerofaciens
78,78,,Eubacteriaceae_bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,Gemmiger_formicilis
79,79,,Blautia_glucerasea,,,,,,,,,,,,,,,,,,,,,,,,,,,Roseburia_hominis
80,80,,Blautia_sp_Marseille_P3087,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9608_SGB15041
81,81,,GGB80140_SGB15224,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3612_SGB4882
82,82,,GGB9759_SGB15370,,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_glucerasea
83,83,,Butyricimonas_faecihominis,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AF34_13
84,84,,GGB9559_SGB14969,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3746_SGB5089
85,85,,GGB9453_SGB14844,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AF20_17LB
86,86,,Lachnospiraceae_bacterium_OM04_12BH,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB14025_SGB14906
87,87,,GGB14025_SGB14906,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9453_SGB14844
88,88,,GGB9719_SGB15272,,,,,,,,,,,,,,,,,,,,,,,,,,,Alistipes_finegoldii
